lock,unlock,update,total
563,21,24,615
597,46,20,678
769,15,29,825
665,10,15,704
520,15,21,561
577,9,12,621
535,10,19,585
575,13,18,615
677,14,14,718
533,9,17,568
621,10,29,668
621,9,23,663
489,10,18,530
524,14,17,564
682,11,26,732
596,15,23,648
554,10,19,604
295,9,19,331
236,9,17,279
21,48,49,129
603,23,26,687
876,15,19,922
368,11,25,417
743,36,24,820
819,10,12,845
587,10,17,639
213,8,15,249
689,23,30,753
872,13,14,910
607,9,15,641
597,9,25,663
542,14,18,585
657,10,34,709
712,15,21,758
562,12,18,605
671,14,24,717
734,16,16,770
601,9,19,639
675,16,26,725
707,10,12,735
580,9,19,622
610,10,18,645
576,23,18,633
615,10,18,653
576,17,31,633
554,12,18,595
605,13,19,651
602,14,21,643
615,10,17,655
572,9,29,622
604,9,15,643
592,6,18,623
475,9,20,511
209,13,28,257
170,16,30,234
21,19,36,91
449,10,48,521
611,9,17,642
650,15,24,696
256,10,15,301
669,9,22,717
598,16,18,642
148,10,22,199
625,6,27,673
621,14,15,658
610,9,17,651
569,9,28,622
581,10,18,628
548,9,25,593
553,15,14,598
551,7,29,591
563,14,27,611
568,10,15,605
535,15,13,575
581,8,21,617
588,12,16,624
513,15,20,558
594,14,12,627
518,10,16,554
529,16,29,583
538,18,16,585
575,9,17,610
539,11,21,582
533,11,19,573
519,9,12,549
632,9,14,677
525,9,20,560
588,9,18,629
539,10,14,570
374,9,20,410
217,10,13,245
602,8,12,631
485,9,16,525
244,8,17,279
211,14,15,246
29,52,28,114
514,8,16,580
547,9,21,582
644,23,22,704
221,10,18,258
624,11,24,663
583,9,24,621
655,12,13,685
339,11,45,427
569,9,19,604
598,26,18,653
617,9,19,659
575,19,32,646
631,13,19,678
663,10,18,703
627,9,33,676
622,14,18,662
649,10,21,691
646,10,15,684
673,9,18,708
646,13,29,694
576,18,16,626
597,16,16,644
650,16,30,714
678,15,15,712
496,8,17,528
640,18,15,685
692,15,19,732
557,11,10,584
682,16,24,734
595,16,18,637
512,10,21,549
452,12,31,517
396,11,18,431
238,24,0,266
138,10,20,173
512,10,30,566
301,11,11,331
134,11,0,152
115,15,17,155
387,7,25,431
232,11,24,273
131,10,15,166
112,11,22,148
121,30,38,220
632,9,28,692
608,10,36,688
536,14,31,619
13,25,38,126
566,13,29,619
625,14,21,678
279,16,40,370
694,10,20,737
637,15,22,695
733,20,52,863
691,8,24,748
648,8,16,685
102,12,49,170
699,12,33,762
683,8,19,725
643,25,31,725
517,32,49,625
568,10,24,621
641,8,37,724
599,16,22,656
640,9,36,712
733,10,24,777
564,10,16,601
688,12,38,761
688,8,14,720
596,14,26,663
567,13,16,614
721,9,33,794
623,7,30,690
556,10,32,630
721,12,35,796
614,9,14,653
589,13,18,637
578,11,20,621
483,19,17,535
517,8,26,583
575,8,25,639
496,16,21,549
471,9,15,506
540,14,19,592
304,14,27,365
766,14,23,814
745,15,17,784
195,12,33,257
749,15,27,813
755,12,23,810
511,23,16,568
746,17,35,810
713,14,31,767
722,14,41,798
671,14,34,746
730,8,32,801
678,14,30,748
637,15,36,708
776,10,30,836
669,8,25,728
626,10,16,668
681,21,30,742
770,15,23,825
668,10,16,704
624,15,16,669
718,12,24,780
763,7,20,805
597,27,67,698
769,8,19,816
594,8,19,634
644,14,27,697
816,11,55,914
578,14,32,649
897,15,32,970
860,16,29,926
707,31,26,772
877,13,26,928
873,13,24,935
810,13,60,913
743,26,29,822
871,39,105,1039
751,13,48,853
792,13,25,846
889,14,29,939
837,15,27,907
702,8,26,762
396,10,26,457
803,17,39,883
623,9,24,677
408,6,29,462
172,14,20,219
533,9,23,588
568,14,22,628
631,14,31,695
533,9,17,572
562,12,23,610
643,9,13,679
675,14,15,718
328,9,19,370
567,10,26,621
550,8,10,577
641,7,16,676
578,9,21,627
631,9,21,680
681,14,19,729
669,8,19,712
586,9,21,634
665,9,30,726
602,14,18,644
630,13,25,690
673,9,37,735
667,9,25,733
577,17,20,624
633,8,29,693
687,17,29,747
573,8,35,647
594,9,23,642
694,17,23,754
653,10,18,701
634,9,26,688
699,9,19,745
554,9,17,590
696,31,33,783
615,9,26,657
542,27,24,600
895,32,24,959
521,8,13,552
578,9,15,620
582,37,38,669
908,15,25,968
507,15,23,566
757,56,24,846
680,8,25,734
282,20,14,331
786,8,12,816
376,11,16,413
245,9,15,283
218,13,19,258
376,9,27,435
249,9,18,292
173,11,29,242
228,8,18,271
184,8,20,220
226,9,25,284
40,7,11,69
86,10,20,136
420,12,25,498
607,9,24,659
220,14,22,270
608,18,24,673
591,10,19,638
365,11,25,410
605,11,17,652
627,18,26,686
590,12,12,621
479,9,23,536
609,12,22,664
669,12,28,727
651,10,19,691
523,12,17,566
813,12,30,871
710,12,23,766
616,14,18,658
623,9,12,657
768,23,25,836
662,12,31,723
492,15,22,539
767,38,36,864
721,11,17,757
608,13,14,644
650,26,36,731
743,32,26,818
629,9,20,668
574,9,19,621
528,7,28,587
598,11,26,653
616,9,21,666
521,9,15,558
550,13,0,575
654,10,31,718
592,15,23,650
505,9,21,553
534,14,27,581
684,20,26,759
527,8,18,570
572,31,19,637
653,10,18,690
551,9,19,590
301,11,17,346
200,8,25,253
179,14,28,244
568,8,18,605
295,14,23,341
232,7,17,274
117,7,11,144
146,9,23,202
658,15,35,725
865,25,28,935
588,12,25,644
299,10,24,346
727,17,31,789
847,13,26,896
682,18,19,736
872,18,28,936
646,9,23,685
485,16,22,542
783,15,17,828
777,9,24,832
571,11,19,610
556,20,18,602
621,10,21,667
654,15,25,711
717,12,21,756
559,12,31,629
644,15,27,697
705,23,21,754
550,11,16,592
662,15,24,714
701,15,36,781
614,10,20,656
717,17,23,771
645,10,39,717
561,9,19,605
590,11,24,644
600,11,18,642
555,12,19,592
598,19,16,646
604,9,15,649
603,9,27,655
538,12,29,598
604,8,18,648
585,20,35,653
591,9,18,633
541,10,18,577
608,18,20,666
581,14,18,622
581,25,12,625
573,8,31,634
478,9,24,531
203,14,20,244
433,11,22,486
643,10,21,695
642,10,20,680
190,10,18,228
635,12,25,692
601,15,17,640
613,9,26,667
83,16,36,151
612,12,27,671
613,12,28,669
298,12,16,340
678,10,18,721
601,21,24,657
584,8,20,633
575,10,26,629
586,16,17,634
533,10,19,570
553,8,29,607
554,10,27,599
578,10,18,616
553,16,20,600
527,17,18,577
568,9,19,604
562,15,19,614
540,19,19,594
526,10,13,558
596,15,29,656
565,9,16,601
568,9,27,622
556,10,17,592
517,9,19,559
524,17,17,573
564,12,24,621
512,15,25,566
570,14,20,615
550,9,17,587
513,15,18,564
627,9,19,675
551,10,17,587
579,9,25,633
516,9,34,581
461,10,22,514
563,15,32,635
528,9,23,570
420,9,17,456
195,16,31,251
583,9,40,653
499,9,26,559
282,10,15,318
193,12,25,246
404,10,28,463
545,12,22,604
593,8,26,649
705,15,24,753
564,11,25,610
642,12,36,716
586,12,23,633
534,9,38,603
532,16,21,578
615,8,37,678
593,24,18,641
158,16,22,208
618,11,18,661
572,17,19,623
653,14,20,693
583,12,23,642
671,13,21,713
652,13,14,689
590,12,30,649
602,15,25,655
626,12,16,668
659,11,12,689
640,11,22,688
649,12,24,691
668,9,19,707
622,16,20,672
631,13,22,678
616,11,24,658
665,10,30,718
608,12,22,662
673,12,22,730
587,19,21,637
682,11,22,731
535,14,18,575
671,16,18,720
584,23,20,647
517,12,12,553
405,12,21,445
670,11,21,724
505,13,13,536
498,15,21,551
300,12,44,372
617,9,18,651
520,12,20,567
473,12,25,522
487,7,23,524
394,15,17,441
220,15,19,262
259,10,16,290
122,13,21,172
106,16,17,147
33,13,17,72
56,15,33,128
602,15,32,674
624,20,22,680
653,18,17,699
172,8,18,217
633,15,22,690
609,18,17,659
668,8,24,706
324,14,21,375
656,7,18,693
604,10,24,656
511,9,21,560
631,8,28,684
604,8,29,662
663,8,29,727
564,7,20,612
623,13,16,665
705,8,21,776
647,11,23,700
580,15,20,621
650,10,25,703
600,19,21,654
541,12,19,584
716,17,23,773
600,15,17,640
562,22,28,639
688,15,18,736
642,13,30,706
557,11,31,624
395,14,42,460
276,8,17,316
532,10,20,573
548,25,0,578
419,7,26,467
531,12,22,577
552,17,17,594
522,9,22,569
113,12,25,166
539,9,18,581
492,16,18,536
583,14,0,605
509,10,22,551
531,10,14,566
553,9,21,598
519,9,23,566
501,10,32,558
565,9,21,600
771,15,33,839
531,19,15,576
673,13,37,744
787,15,26,840
890,21,38,964
559,19,33,624
792,13,28,855
765,16,21,810
984,18,30,1052
596,15,29,649
805,14,24,865
733,26,36,809
694,14,30,749
995,20,33,1078
761,12,22,813
691,15,24,744
991,18,32,1059
706,26,0,742
697,12,12,731
705,12,22,758
846,14,26,899
702,8,0,730
696,11,53,773
588,15,17,639
719,21,28,778
679,16,22,726
689,13,33,743
692,15,16,734
543,15,26,605
206,16,30,259
123,15,32,188
709,16,33,768
712,15,29,780
665,18,27,722
230,25,29,292
702,15,33,759
731,14,28,798
648,25,12,702
447,15,21,499
698,20,0,736
714,15,32,776
635,21,0,672
723,15,31,776
709,22,15,758
642,9,0,667
704,15,22,757
734,15,31,796
652,15,25,709
691,15,22,736
734,15,26,787
681,15,18,730
639,16,24,692
706,14,28,758
737,9,0,759
622,22,0,650
735,10,21,782
708,8,35,781
596,9,23,650
679,8,0,698
551,9,16,594
568,9,19,616
642,15,23,701
623,16,20,665
562,11,27,617
604,27,23,660
745,27,23,816
519,9,19,567
585,13,30,656
623,10,37,695
790,15,40,857
543,8,22,584
643,9,20,679
767,22,31,827
614,10,12,644
432,12,22,497
645,9,32,710
324,13,21,387
625,14,33,702
611,14,106,743
486,8,13,526
541,17,25,610
657,14,22,707
619,14,21,679
420,8,27,484
202,20,29,277
626,18,23,681
632,15,25,685
566,15,32,637
768,16,26,850
662,7,25,706
589,10,24,656
715,8,21,768
638,9,17,708
659,9,21,707
605,14,25,663
710,9,12,738
718,8,20,800
659,14,16,713
593,17,19,635
587,9,30,680
664,10,20,700
587,11,24,653
731,8,15,768
675,9,17,753
664,7,22,707
629,9,21,673
515,9,10,549
628,8,27,675
619,9,28,686
497,14,26,559
475,7,24,530
676,9,29,754
635,9,14,672
499,9,24,559
632,10,16,674
630,9,14,668
512,21,12,559
442,10,24,501
533,9,14,569
439,8,11,464
351,9,8,376
471,9,21,508
533,13,16,577
419,7,15,454
460,10,16,503
534,11,21,576
412,26,20,478
311,9,12,348
505,9,18,552
439,8,16,473
365,9,25,418
310,9,20,357
344,8,23,392
187,8,12,227
68,9,12,102
316,20,22,382
198,8,19,235
71,11,12,108
124,24,30,198
758,15,23,809
745,14,35,822
648,15,35,710
741,15,23,803
744,24,31,807
684,16,14,727
323,15,20,407
759,15,13,813
730,15,30,787
565,20,27,627
748,16,15,796
719,13,33,770
674,14,27,733
771,14,26,824
650,15,16,697
622,13,27,686
718,12,19,780
787,8,14,821
599,9,19,652
642,20,22,697
737,12,23,802
745,14,18,792
652,19,21,704
620,10,39,686
760,15,30,830
689,10,18,726
650,9,16,686
715,17,29,771
750,9,42,824
971,9,29,1032
791,13,25,845
835,15,45,927
884,9,24,940
851,14,25,909
874,11,29,934
879,14,39,950
835,15,19,890
622,10,15,660
835,12,49,919
861,17,26,924
818,15,25,872
563,10,17,606
770,9,14,805
431,9,17,474
270,9,20,313
588,7,25,669
576,10,15,613
644,10,14,679
692,18,12,735
235,9,18,323
549,9,22,597
568,9,27,621
654,16,31,714
554,10,18,631
574,16,16,616
637,10,17,679
676,20,22,729
389,22,15,486
567,11,17,604
539,20,38,644
637,13,41,716
614,9,13,650
590,9,24,644
665,13,28,729
666,10,16,704
597,10,17,639
648,14,17,690
593,9,25,644
591,17,27,657
688,7,25,728
601,12,20,643
616,10,37,672
671,12,34,732
681,10,23,733
579,10,20,616
655,14,20,709
857,16,22,911
662,21,28,727
529,9,20,576
769,19,29,844
637,10,31,698
528,16,23,584
790,15,95,923
600,7,22,654
640,9,17,681
542,10,20,584
882,22,34,952
24,33,32,102
437,16,20,484
616,16,20,663
419,12,21,462
612,10,19,652
645,21,25,716
550,12,18,590
267,10,24,327
626,12,20,663
602,21,18,658
622,10,17,661
125,10,16,194
443,12,18,485
617,14,18,661
669,12,17,708
661,12,19,700
518,12,16,570
818,8,15,854
530,17,17,589
821,11,29,868
711,31,20,769
589,9,12,621
590,10,25,650
784,16,27,846
661,10,32,721
694,15,64,784
730,24,47,807
616,12,22,666
703,10,27,750
596,15,21,648
541,10,16,575
493,7,17,537
534,9,25,582
670,13,33,724
598,16,18,645
508,15,17,561
571,11,24,616
674,17,14,717
529,10,20,588
610,16,20,657
618,17,19,667
500,10,14,531
584,16,22,639
635,8,18,671
586,14,20,634
553,9,24,612
283,9,23,337
211,19,24,271
170,9,13,201
228,9,20,289
716,11,23,759
867,16,27,917
347,16,19,450
776,16,22,827
794,10,26,843
591,10,13,619
512,8,43,616
767,29,69,873
726,10,20,769
569,16,13,611
582,10,19,649
837,13,28,895
711,10,20,748
560,17,14,616
582,12,19,660
639,10,27,709
557,11,34,617
624,12,36,677
717,11,41,776
641,9,18,685
606,11,17,658
682,17,23,736
682,25,15,728
610,15,21,663
719,15,28,771
665,11,14,696
558,12,19,609
683,21,24,742
558,16,21,608
601,13,21,648
594,15,21,642
544,8,20,597
609,10,20,661
601,11,16,639
539,12,19,585
629,11,16,689
546,9,21,582
593,16,44,674
550,10,20,587
589,10,14,620
570,18,17,636
391,12,24,439
203,27,24,259
126,10,18,169
567,10,10,595
306,11,18,348
217,10,22,256
130,16,11,163
650,11,20,725
618,11,24,662
621,10,23,664
607,15,10,644
194,10,15,260
661,11,23,713
589,21,22,647
609,7,9,633
573,12,23,647
599,22,17,648
647,8,17,681
356,9,22,436
654,10,15,693
638,18,20,692
575,10,17,610
567,16,21,619
540,16,21,593
557,17,24,612
551,10,26,610
577,10,14,614
539,19,22,595
549,10,13,579
599,14,16,639
552,11,19,589
580,15,14,621
506,13,58,583
519,10,19,564
579,10,16,617
566,15,19,609
535,17,20,591
536,19,0,568
601,10,17,638
543,18,21,600
517,10,15,565
540,11,41,600
590,10,18,627
533,10,20,575
538,14,15,586
547,10,21,588
585,27,18,646
552,10,21,608
540,11,41,611
577,10,15,615
495,11,22,549
282,12,21,341
186,16,15,229
469,11,16,505
243,14,21,282
208,17,12,243
706,9,22,789
569,11,19,611
674,12,18,719
448,11,16,537
563,10,18,601
603,18,23,662
251,17,18,333
615,9,19,656
580,23,19,633
616,10,16,704
546,11,47,612
638,15,22,689
613,10,14,656
653,10,19,736
585,29,51,681
589,10,16,624
595,15,14,637
667,10,19,719
664,14,18,711
601,14,30,661
597,10,18,637
638,19,19,687
654,27,13,707
566,21,18,621
631,15,22,678
670,16,20,719
615,17,19,662
595,11,24,645
664,12,32,727
650,12,14,690
490,15,35,553
621,6,32,693
699,9,16,736
561,10,15,596
601,15,24,663
686,9,25,747
498,9,37,559
658,16,31,730
604,10,14,640
531,12,20,582
541,16,19,602
637,10,22,679
620,9,24,674
16,15,19,63
519,17,18,586
635,15,17,683
346,9,27,424
636,9,26,685
608,13,28,666
688,10,19,732
108,9,33,177
620,9,24,674
625,10,23,666
599,49,18,684
635,15,20,683
569,9,22,616
681,24,27,752
632,9,27,696
613,9,27,657
541,16,32,603
643,20,20,692
574,15,21,617
659,33,25,729
659,11,32,720
552,14,19,598
617,12,30,669
726,9,15,763
526,14,29,592
689,16,23,743
630,10,26,680
485,13,10,517
624,15,33,699
529,10,17,564
449,15,20,501
450,10,21,492
541,11,22,582
418,11,32,484
443,9,26,501
358,10,19,400
415,15,17,466
516,10,19,559
380,9,21,427
478,15,38,538
409,9,25,457
396,13,28,450
647,28,43,729
330,26,23,403
564,21,43,639
568,23,41,644
340,13,35,433
472,14,25,526
534,39,33,623
431,15,35,496
248,14,0,274
529,12,30,606
585,20,25,642
369,15,17,417
387,16,16,430
532,10,20,579
538,22,24,596
91,21,0,123
540,7,25,592
484,21,22,535
511,7,16,592
529,11,16,565
561,11,18,599
530,8,10,554
186,16,20,253
531,14,19,572
521,17,19,570
521,9,24,569
548,9,29,612
505,31,24,571
672,13,19,718
501,10,20,548
572,10,30,630
771,33,44,858
763,38,17,827
546,8,27,594
716,28,41,807
741,19,26,805
614,16,25,683
810,19,0,839
783,15,14,819
996,16,25,1095
769,15,30,839
822,24,86,944
882,15,23,941
702,16,23,756
983,29,28,1060
790,14,31,844
690,16,21,742
720,24,13,767
937,15,42,1009
759,16,19,811
689,18,21,738
683,31,14,736
676,16,25,750
686,16,24,738
682,15,15,719
292,15,22,345
661,12,15,704
627,29,0,664
310,12,13,343
633,21,29,723
715,12,23,769
705,15,9,739
462,14,34,547
678,26,22,743
711,24,18,768
631,15,41,704
736,15,25,821
722,24,21,785
662,15,30,747
681,21,0,709
254,16,19,335
707,9,35,758
747,15,24,802
633,15,22,698
668,16,30,727
676,16,29,730
734,8,26,784
679,9,22,727
609,27,25,685
713,24,26,776
720,23,31,781
588,19,12,635
625,21,20,719
740,25,21,797
659,32,24,726
567,9,16,603
676,16,29,740
731,20,31,797
638,10,23,680
552,6,20,595
614,13,36,684
647,15,25,701
513,10,21,564
642,9,26,684
659,33,41,753
739,10,41,805
535,9,22,581
637,8,23,685
780,21,26,844
580,25,17,631
556,12,19,597
657,10,37,711
750,9,28,809
765,21,19,813
317,11,19,359
152,10,23,206
41,10,11,74
443,15,19,540
654,24,20,716
622,14,20,671
242,14,25,325
622,15,22,676
627,21,29,688
577,9,20,619
685,7,28,783
621,15,15,661
593,15,20,636
384,10,12,417
438,20,42,524
629,16,20,671
649,8,24,694
356,27,46,455
654,9,26,701
649,16,19,692
658,26,21,733
638,12,25,691
663,22,19,712
205,14,27,262
713,15,32,765
649,9,18,685
657,10,20,702
626,15,16,674
750,8,23,797
625,9,16,664
677,10,24,724
729,10,9,754
538,15,24,588
617,11,15,654
686,9,20,724
715,11,28,763
593,10,17,627
587,8,13,618
707,10,17,747
641,8,16,677
649,8,27,701
558,13,18,606
591,10,16,627
512,9,21,549
483,16,19,529
572,8,17,607
487,9,21,524
519,13,22,571
565,15,23,612
488,15,18,537
535,11,16,571
484,9,16,518
495,9,13,526
534,9,20,585
431,17,16,474
527,12,25,570
379,12,19,421
334,8,38,386
519,9,19,556
366,11,25,418
339,10,20,376
243,8,11,272
737,17,30,801
753,17,28,807
673,22,24,725
760,11,26,818
566,9,22,615
751,15,26,804
716,13,14,750
751,16,19,814
840,15,30,902
745,16,24,798
686,15,14,724
788,15,30,842
398,16,30,466
756,10,33,804
722,18,27,779
724,15,23,776
784,23,30,845
586,23,15,641
648,12,17,684
817,15,20,868
757,9,27,805
602,10,19,638
661,12,21,704
723,17,21,770
656,10,17,691
649,16,13,684
699,10,20,737
637,18,19,686
679,13,55,751
872,13,20,917
889,24,22,949
880,16,28,933
855,14,14,895
863,8,24,944
905,24,15,950
845,16,29,898
606,21,15,654
957,16,17,999
834,16,30,887
737,16,15,774
421,10,15,456
866,16,26,920
846,15,12,881
574,16,20,617
341,10,11,371
642,10,15,678
419,10,19,462
146,10,14,182
26,89,25,147
546,7,19,588
591,10,9,616
393,16,22,443
573,10,18,616
537,13,15,576
711,32,27,781
232,20,16,274
546,10,26,593
580,10,20,616
659,17,15,697
526,10,19,564
564,10,16,599
636,22,19,690
670,14,22,713
630,13,14,672
704,16,18,749
600,7,23,639
651,15,18,692
693,9,20,733
582,21,23,634
640,13,24,689
620,10,21,656
598,10,15,628
671,11,20,718
576,7,23,612
624,14,15,667
696,22,17,742
682,10,15,713
669,16,15,713
637,10,13,666
569,12,19,607
922,56,33,1021
660,16,16,715
596,9,19,633
633,17,29,692
688,15,18,726
552,7,23,595
739,41,22,816
760,39,25,837
633,10,25,699
607,11,31,657
653,11,13,684
522,108,30,665
459,16,30,537
611,11,26,657
661,11,14,696
496,10,21,532
586,10,30,649
612,10,21,650
659,10,20,702
555,7,17,611
625,11,16,662
651,19,17,696
528,10,16,565
499,10,14,529
888,21,25,941
692,9,22,730
814,11,16,849
730,10,13,757
600,10,18,647
829,29,27,896
703,13,23,745
573,10,8,597
562,12,18,601
650,10,12,675
533,10,14,579
546,26,38,622
683,10,16,719
537,10,22,579
557,8,15,588
642,10,15,678
620,10,20,656
522,10,15,563
616,10,21,658
625,16,18,666
609,11,19,650
620,10,18,656
494,10,14,524
203,11,20,245
554,12,23,596
300,10,18,337
220,14,26,266
197,10,16,230
637,21,20,692
840,21,52,923
664,14,15,709
589,10,18,625
112,16,21,157
642,39,23,711
853,32,35,931
271,12,25,312
716,16,31,776
857,14,26,909
587,10,17,625
443,32,16,494
775,15,39,838
781,10,21,821
586,20,22,637
597,10,18,635
659,11,27,704
708,14,23,752
557,14,22,604
629,10,21,670
695,31,27,757
664,15,16,700
602,16,20,646
665,15,12,701
722,15,28,773
557,10,20,594
615,20,31,678
717,13,30,766
638,10,14,673
563,17,20,610
581,10,19,622
602,10,17,634
611,15,15,653
611,10,21,647
557,10,26,604
615,17,10,645
607,8,14,639
570,10,23,621
590,23,21,642
590,16,14,630
605,11,26,659
615,6,14,649
556,19,29,614
529,10,14,562
204,16,16,245
476,11,15,512
209,16,18,250
154,17,10,183
70,10,21,108
660,10,23,730
620,16,30,671
613,10,17,649
608,10,17,640
562,9,24,648
609,16,32,662
629,10,19,664
597,10,32,650
274,10,39,357
665,11,20,702
621,11,32,676
397,25,20,501
639,17,20,682
635,16,17,681
583,10,26,631
554,22,19,608
579,10,13,609
564,9,37,616
527,9,18,562
580,9,10,604
539,9,16,603
512,10,18,562
575,9,25,616
569,10,16,606
546,11,20,598
527,17,10,559
585,10,19,621
574,7,15,604
567,10,17,610
484,16,15,526
616,7,11,639
511,10,22,553
570,10,30,616
561,11,15,600
529,19,18,573
611,10,22,654
526,13,28,581
537,12,20,573
591,10,18,626
540,8,18,576
469,9,23,508
566,16,14,600
614,9,10,639
626,11,19,673
96,33,27,165
614,10,23,668
574,10,20,615
610,10,18,654
544,10,23,582
641,10,22,679
603,19,24,659
245,10,17,281
628,10,21,664
585,15,16,621
656,10,10,680
603,18,27,668
625,27,20,678
666,10,15,701
628,17,23,670
653,10,23,690
625,15,21,667
638,10,19,690
647,15,39,707
588,15,33,645
635,17,19,680
662,22,17,709
624,8,22,659
642,20,23,698
625,11,20,662
653,10,14,684
723,11,19,765
598,16,19,648
695,11,23,745
596,9,21,632
545,10,15,580
615,15,22,666
681,15,34,741
517,15,19,557
500,24,53,587
679,10,20,720
494,10,15,530
515,17,23,565
323,6,17,352
399,11,19,487
637,10,19,678
620,9,20,657
611,17,17,696
637,9,39,696
640,28,26,709
624,14,19,665
233,10,19,300
659,15,23,706
602,10,15,639
683,26,20,736
586,12,19,660
641,11,22,684
648,9,24,699
669,10,11,701
590,17,18,633
641,10,27,690
680,15,13,717
609,15,28,671
568,10,11,593
727,6,14,752
577,7,17,609
618,15,32,671
693,16,31,748
578,27,20,633
532,11,25,575
709,13,24,760
685,10,32,739
499,13,16,534
679,10,21,717
526,15,0,552
477,15,20,519
448,10,12,480
561,10,19,596
425,10,18,462
527,9,22,571
438,11,29,485
512,14,26,559
392,10,15,422
488,27,27,547
456,16,27,512
433,10,16,469
393,12,32,445
637,26,33,700
356,10,23,394
543,11,42,604
568,29,45,651
367,13,19,408
599,39,39,689
556,29,62,655
334,16,15,371
321,10,17,359
538,9,27,581
534,16,16,571
523,10,16,580
556,16,29,646
510,8,0,523
567,10,17,617
522,15,28,575
36,26,24,96
545,23,0,581
494,11,16,527
585,10,14,621
171,11,18,210
547,15,13,579
503,33,19,561
524,7,11,548
562,8,22,611
705,16,34,766
515,10,10,541
674,24,30,736
777,16,31,833
543,16,20,585
797,16,16,836
709,33,16,787
623,16,31,676
786,17,29,840
765,44,49,863
757,16,32,810
912,40,31,992
839,24,16,883
784,33,40,868
950,16,30,1003
709,16,28,762
685,16,29,738
972,19,42,1076
742,15,35,798
688,31,18,748
697,24,16,741
979,13,15,1018
657,16,29,710
677,16,37,739
697,13,16,735
655,11,39,727
710,16,38,769
579,16,21,627
245,16,19,291
564,17,23,614
691,16,24,741
720,10,28,767
657,42,15,719
349,13,34,408
699,16,27,753
749,15,0,767
22,105,0,138
691,29,37,775
708,33,21,768
196,15,26,242
718,15,24,764
734,16,29,787
669,15,16,707
664,24,16,709
665,20,19,716
705,16,29,759
744,14,20,789
657,23,0,690
674,16,37,733
717,14,37,773
652,10,31,703
708,16,30,762
705,13,27,756
635,11,20,671
651,11,52,726
727,28,16,775
679,10,35,735
676,13,26,723
587,9,11,613
573,10,21,610
649,11,20,691
607,10,12,638
541,39,10,605
631,7,13,658
524,10,21,560
571,13,29,632
661,15,31,713
756,14,65,847
562,10,19,596
625,21,33,685
757,22,18,804
650,12,0,673
705,16,55,781
729,10,16,765
260,10,26,301
780,11,32,829
584,10,17,621
163,13,17,205
